freq,psd_x,psd_y,psd_z,psd_xyz,accel_per_hz,smooth_zv(18.0),smooth_mzv(44.6),smooth_ei(48.0),smooth_2hump_ei(45.9),smooth_zvd_ei(52.2),smooth_si(45.7),mzv(52.0),ei(69.6),2hump_ei(69.6),2mode_zv(44.7)
59.3,1.729e+02,4.106e+03,1.386e+03,5.664e+03,60.0,0.135,0.120,0.053,0.053,0.020,0.055,0.088,0.027,0.057,0.119
60.8,1.637e+02,3.297e+03,1.181e+03,4.642e+03,60.0,0.137,0.118,0.049,0.049,0.025,0.052,0.101,0.031,0.052,0.118
62.4,1.300e+02,2.649e+03,1.123e+03,3.902e+03,60.0,0.136,0.114,0.044,0.044,0.030,0.047,0.112,0.036,0.046,0.113
63.9,9.761e+01,2.153e+03,1.140e+03,3.391e+03,60.0,0.130,0.107,0.037,0.038,0.033,0.040,0.120,0.043,0.039,0.106
65.5,7.106e+01,1.665e+03,1.218e+03,2.955e+03,60.0,0.121,0.097,0.028,0.030,0.035,0.033,0.127,0.049,0.031,0.097
67.1,5.033e+01,1.211e+03,1.331e+03,2.593e+03,60.0,0.109,0.086,0.022,0.023,0.039,0.025,0.131,0.054,0.023,0.085
68.6,4.254e+01,8.876e+02,1.191e+03,2.121e+03,60.0,0.099,0.072,0.025,0.017,0.044,0.018,0.133,0.056,0.017,0.071
70.2,9.439e+01,9.607e+02,1.212e+03,2.267e+03,60.0,0.092,0.057,0.039,0.015,0.047,0.015,0.133,0.057,0.034,0.056
71.7,1.449e+02,1.578e+03,2.841e+03,4.564e+03,60.0,0.086,0.066,0.059,0.020,0.050,0.014,0.130,0.056,0.054,0.042
73.3,1.313e+02,1.776e+03,5.856e+03,7.764e+03,60.0,0.081,0.079,0.082,0.024,0.052,0.016,0.125,0.080,0.074,0.036
74.9,1.089e+02,1.554e+03,9.542e+03,1.120e+04,60.0,0.076,0.091,0.106,0.027,0.052,0.021,0.118,0.107,0.094,0.040
76.4,1.286e+02,1.594e+03,1.498e+04,1.670e+04,60.0,0.073,0.102,0.130,0.031,0.051,0.027,0.130,0.133,0.113,0.064
78.0,1.954e+02,2.199e+03,2.085e+04,2.325e+04,60.0,0.071,0.113,0.153,0.037,0.049,0.033,0.156,0.159,0.131,0.092
